shell,n_sat,inc,pairs,seed,slot,recovered_gnn,blind_ttt,ue_ttt,poa,rel_gnn,unit_of_analysis,recovered_ecmp_0.0,rel_ecmp_0.0,recovered_ecmp_0.02,rel_ecmp_0.02,recovered_ecmp_0.05,rel_ecmp_0.05,recovered_ecmp_0.1,rel_ecmp_0.1,recovered_ecmp_0.2,rel_ecmp_0.2,recovered_ecmp_0.35,rel_ecmp_0.35,recovered_ecmp_0.5,rel_ecmp_0.5,machine
w396_i53,396,0.9250245035569946,1800,1,1,0.8969,15199.9633,258.3516,0.977693,0.118375,vo-x-seed-x-khe,0.0,1.0,0.5216,0.487299,0.7663,0.246685,0.8476,0.166832,0.9609,0.055387,0.9612,0.055131,0.9612,0.055131,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,1800,1,2,0.882,11527.5503,266.9752,0.976304,0.138432,vo-x-seed-x-khe,-0.0,1.0,0.4758,0.535258,0.6843,0.331514,0.7249,0.291859,0.9352,0.086418,0.9358,0.085908,0.9358,0.085908,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,1800,2,1,0.9029,15534.3715,256.8991,0.974979,0.112069,vo-x-seed-x-khe,-0.0,1.0,0.4943,0.513834,0.7718,0.240976,0.8824,0.132233,0.9714,0.044635,0.9714,0.044644,0.9714,0.044644,Linux-x86_64-sol1
w396_i53,396,0.9250245035569946,1800,2,2,0.8345,11047.5788,256.9553,0.972938,0.184944,vo-x-seed-x-khe,0.0,1.0,0.4856,0.525683,0.6989,0.3174,0.816,0.203014,0.9583,0.063959,0.9586,0.063737,0.9586,0.063737,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,1200,0,1,0.9236,3477.476,104.7241,1.038603,0.10425,vo-x-seed-x-khe,0.0,1.0,0.2278,0.779065,0.5649,0.452129,0.7422,0.280153,0.8909,0.135964,0.9466,0.081913,0.9526,0.076065,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,1200,0,2,0.9192,2355.7072,104.7815,1.03602,0.121641,vo-x-seed-x-khe,-0.0,1.0,0.1242,0.881352,0.4559,0.564359,0.592,0.434341,0.8115,0.224577,0.9108,0.129708,0.9221,0.118898,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,1200,1,1,0.917,2416.9926,103.23,1.03875,0.122207,vo-x-seed-x-khe,0.0,1.0,0.1259,0.879503,0.4917,0.529278,0.7024,0.327571,0.8859,0.151937,0.9461,0.094343,0.9502,0.090341,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,1200,1,2,0.9264,2446.3119,105.9958,1.036267,0.11378,vo-x-seed-x-khe,-0.0,1.0,0.1038,0.900678,0.4648,0.555376,0.6398,0.387885,0.8386,0.197777,0.925,0.115033,0.9332,0.107263,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,1200,2,1,0.9248,2343.0916,101.6623,1.046386,0.11532,vo-x-seed-x-khe,0.0,1.0,0.2022,0.806532,0.5247,0.498086,0.7386,0.293478,0.8999,0.139172,0.9509,0.090369,0.9566,0.084861,Linux-x86_64-sol1
w264_i70,264,1.2217304763960306,1200,2,2,0.9207,1768.9279,101.9181,1.043973,0.132336,vo-x-seed-x-khe,-0.0,1.0,0.1632,0.84616,0.5078,0.521443,0.6834,0.355942,0.8515,0.197555,0.9304,0.12324,0.938,0.116084,Linux-x86_64-sol1
