shell,n_sat,seed,unit_of_analysis,n_dests,node_dest_pairs,exact_tie_pairs,tie_fraction,machine
w132_i53,132,0,vo-x-seed,91,11921,20,0.001678,Linux-x86_64-sol1
w132_i53,132,1,vo-x-seed,97,12707,24,0.001889,Linux-x86_64-sol1
w132_i53,132,2,vo-x-seed,96,12576,28,0.002226,Linux-x86_64-sol1
w264_i53,264,0,vo-x-seed,184,48392,71,0.001467,Linux-x86_64-sol1
w264_i53,264,1,vo-x-seed,196,51548,68,0.001319,Linux-x86_64-sol1
w264_i53,264,2,vo-x-seed,187,49181,67,0.001362,Linux-x86_64-sol1
w264_i70,264,0,vo-x-seed,184,48392,77,0.001591,Linux-x86_64-sol1
w264_i70,264,1,vo-x-seed,190,49970,75,0.001501,Linux-x86_64-sol1
w264_i70,264,2,vo-x-seed,194,51022,76,0.00149,Linux-x86_64-sol1
