shell,n_sat,seed,unit_of_analysis,blind_ttt,ue_ttt,so_ttt,blind_over_ue,poa_violated,recovered_gnn_tau0.05,ratio_ue_gnn_tau0.05,recovered_gnn_tau0.1,ratio_ue_gnn_tau0.1,recovered_gnn_tau0.2,ratio_ue_gnn_tau0.2,recovered_gnn_tau0.35,ratio_ue_gnn_tau0.35,recovered_gnn_tau0.5,ratio_ue_gnn_tau0.5,recovered_gnn_tau1.0,ratio_ue_gnn_tau1.0,recovered_gnn_tau2.0,ratio_ue_gnn_tau2.0,recovered_gnn_tau3.5,ratio_ue_gnn_tau3.5,recovered_gnn_tau5.0,ratio_ue_gnn_tau5.0,recovered_gnn_tau8.0,ratio_ue_gnn_tau8.0,recovered_ecmp_eps0.05,ratio_ue_ecmp_eps0.05,recovered_ecmp_eps0.1,ratio_ue_ecmp_eps0.1,recovered_ecmp_eps0.2,ratio_ue_ecmp_eps0.2,recovered_ecmp_eps0.35,ratio_ue_ecmp_eps0.35,recovered_ecmp_eps0.5,ratio_ue_ecmp_eps0.5,recovered_ecmp_eps0.75,ratio_ue_ecmp_eps0.75,gap_1584
w1584_i53,1584,0,vo-x-seed,8578289.4071,11141.2695,14782.8037,769.96,1,0.7667,180.42,0.84,124.05,0.9212,61.56,0.9594,32.22,0.9702,23.92,0.9788,17.33,0.9814,15.3,0.9822,14.65,0.9825,14.42,0.9828,14.23,0.925,58.68,0.9908,8.08,0.9947,5.11,0.9947,5.11,0.9947,5.11,0.9947,5.11,-0.0119
w1584_i53,1584,1,vo-x-seed,8387409.1153,9870.8033,14896.1811,849.72,1,0.7578,206.53,0.8329,142.83,0.9201,68.81,0.9584,36.3,0.9691,27.21,0.978,19.7,0.9807,17.34,0.9816,16.59,0.9819,16.32,0.9822,16.1,0.9241,65.41,0.9902,9.3,0.9942,5.91,0.9942,5.91,0.9942,5.91,0.9942,5.91,-0.012
w1584_i53,1584,2,vo-x-seed,7934043.5897,10656.4429,15102.8684,744.53,1,0.7239,206.29,0.8152,138.4,0.9159,63.52,0.9621,29.18,0.9737,20.52,0.9818,14.56,0.984,12.87,0.9847,12.35,0.985,12.16,0.9852,12.01,0.9029,73.23,0.988,9.96,0.9928,6.34,0.9928,6.34,0.9928,6.34,0.9928,6.34,-0.0076
