seed,drift,r_ue,r_react,r_proact,machine
0,0.0,0.5056806738451435,0.5587926155111202,0.5587926155111202,Linux-x86_64-sol1
0,0.3,0.4494046700967448,0.6836861159315687,0.5154318325970415,Linux-x86_64-sol1
0,0.6,0.448402182956708,0.8714469237710777,0.5411302906107676,Linux-x86_64-sol1
0,1.0,0.4456890053001511,1.169719894770387,0.5042968554981451,Linux-x86_64-sol1
0,1.5,0.4139480501481625,1.5678060882343134,0.440280508921651,Linux-x86_64-sol1
1,0.0,0.41814334482158005,0.4737288255292438,0.4737288255292438,Linux-x86_64-sol1
1,0.3,0.4676747519426746,0.6007729633582152,0.5595374503571947,Linux-x86_64-sol1
1,0.6,0.4547306461413659,0.8165196656571794,0.5767230808736032,Linux-x86_64-sol1
1,1.0,0.3963658730383095,1.0819118584375764,0.4298623168072672,Linux-x86_64-sol1
1,1.5,0.32735289505456444,1.6698268716577251,0.3574382362957705,Linux-x86_64-sol1
2,0.0,0.38122799257982765,0.46377748093513627,0.46377748093513627,Linux-x86_64-sol1
2,0.3,0.3906737093111979,0.4689897128658782,0.44328071873349717,Linux-x86_64-sol1
2,0.6,0.4184222067877456,0.6313334935241164,0.5035188305685488,Linux-x86_64-sol1
2,1.0,0.33125207532632495,0.8059824210625615,0.36669957596481406,Linux-x86_64-sol1
2,1.5,0.316654158807696,1.619508705635321,0.34240784437763844,Linux-x86_64-sol1
