shell,n_sat,seed,unit_of_analysis,iters,blind_ttt,ue_ttt,so_ttt,poa,blind_over_ue,machine
w1584_i53,1584,0,vo-x-seed,20,8605152.3257,11391.5801,14799.2099,0.769742,755.4,Linux-x86_64-sol1
w1584_i53,1584,0,vo-x-seed,40,8605152.3257,7762.2725,8748.8201,0.887236,1108.59,Linux-x86_64-sol1
w1584_i53,1584,0,vo-x-seed,80,8605152.3257,7197.9096,7585.1095,0.948953,1195.51,Linux-x86_64-sol1
w1584_i53,1584,0,vo-x-seed,160,8605152.3257,7052.0724,7248.7761,0.972864,1220.23,Linux-x86_64-sol1
w1584_i53,1584,0,vo-x-seed,320,8605152.3257,6993.5327,7104.1347,0.984431,1230.44,Linux-x86_64-sol1
