shell,n_sat,seed,unit_of_analysis,blind_ttt,t_forward_s,ttt_gnn_tau0.05,rel_gnn_tau0.05,ttt_gnn_tau0.1,rel_gnn_tau0.1,ttt_gnn_tau0.2,rel_gnn_tau0.2,t_decode_s,ttt_gnn_tau0.35,rel_gnn_tau0.35,ttt_gnn_tau0.5,rel_gnn_tau0.5,ttt_gnn_tau1,rel_gnn_tau1,ttt_gnn_tau2,rel_gnn_tau2,ttt_gnn_tau3.5,rel_gnn_tau3.5,ttt_gnn_tau5,rel_gnn_tau5,ttt_gnn_tau8,rel_gnn_tau8,ttt_gnn_tau16,rel_gnn_tau16,ttt_gnn_tau32,rel_gnn_tau32,ttt_gnn_tau64,rel_gnn_tau64,ttt_gnn_tau128,rel_gnn_tau128,ttt_gnn_tau256,rel_gnn_tau256,ttt_gnn_tau512,rel_gnn_tau512,ttt_gnn_tau1024,rel_gnn_tau1024,ttt_ecmp_eps0.05,rel_ecmp_eps0.05,ttt_ecmp_eps0.1,rel_ecmp_eps0.1,ttt_ecmp_eps0.2,rel_ecmp_eps0.2,ttt_ecmp_eps0.35,rel_ecmp_eps0.35,ttt_ecmp_eps0.5,rel_ecmp_eps0.5,ttt_ecmp_eps0.75,rel_ecmp_eps0.75,best_gnn_ttt,best_gnn_tau,best_ecmp_ttt,best_ecmp_eps,rel_best_gnn,rel_best_ecmp,winner,margin_pct,tau_at_grid_edge
w1584_i53,1584,0,vo-x-seed,8605152.3257,0.0111,2367037.9898,0.2751,1578100.2418,0.1834,725941.4771,0.0844,8.425,378053.2279,0.0439,289801.639,0.0337,218568.6458,0.0254,194909.4275,0.0227,187072.9251,0.0217,184275.7791,0.0214,181971.1517,0.0211,180145.4064,0.0209,179262.9626,0.0208,178829.0389,0.0208,178613.8627,0.0208,178506.7162,0.0207,178453.2527,0.0207,178426.5483,0.0207,653744.398,0.076,90075.7853,0.0105,56887.1806,0.0066,56887.1806,0.0066,56887.1806,0.0066,56887.1806,0.0066,178426.5483,1024.0,56887.1806,0.2,0.0207,0.0066,ecmp,213.65,1
w1584_i53,1584,1,vo-x-seed,8333742.0318,0.0109,2621473.836,0.3146,1646957.915,0.1976,736074.5229,0.0883,8.3979,376073.613,0.0451,284065.5349,0.0341,211734.8303,0.0254,188533.0527,0.0226,180969.4354,0.0217,178286.7732,0.0214,176083.8544,0.0211,174343.6798,0.0209,173504.2418,0.0208,173091.8683,0.0208,172887.4783,0.0207,172785.7275,0.0207,172734.9626,0.0207,172709.6076,0.0207,645615.5659,0.0775,91779.0901,0.011,58323.6398,0.007,58323.6398,0.007,58323.6398,0.007,58323.6398,0.007,172709.6076,1024.0,58323.6398,0.2,0.0207,0.007,ecmp,196.123,1
w1584_i53,1584,2,vo-x-seed,7950545.9524,0.0111,2506716.6012,0.3153,1654668.0233,0.2081,719653.826,0.0905,9.6477,333800.0648,0.042,236837.0084,0.0298,168270.6106,0.0212,149176.4146,0.0188,143373.9836,0.018,141370.8782,0.0178,139747.3082,0.0176,138477.9454,0.0174,137869.6102,0.0173,137571.6841,0.0173,137424.2389,0.0173,137350.8904,0.0173,137314.309,0.0173,137296.0414,0.0173,780373.8038,0.0982,106115.1078,0.0133,67586.8933,0.0085,67586.8933,0.0085,67586.8933,0.0085,67586.8933,0.0085,137296.0414,1024.0,67586.8933,0.2,0.0173,0.0085,ecmp,103.14,1
