shell,pairs,seed,blind_maxutil,ue_maxutil,blind_ttt,ue_ttt,blind_delay,ue_delay,gain
starlink_mini132,100,0,0.5692915786470854,0.5519724873642031,4.861968946700673,4.86179262115783,0.047137258317355185,0.0466780213385586,0.003626628322294143
starlink_mini132,100,1,0.6372859218167719,0.5906775329641566,4.792305092036702,4.791506566936082,0.05017914878516449,0.050498103510501345,0.016662651590075177
starlink_mini132,100,2,0.8482605427636294,0.6219548358746533,4.807571319872749,4.79889479713323,0.053442703018017755,0.05176939791850746,0.18047621475011932
starlink_mini132,300,0,1.9113716586477079,1.158389915194499,16.434960896527947,15.148687061582464,0.056443761655438324,0.05151088669773391,7.8264490134395235
starlink_mini132,300,1,2.0566622889606023,1.1724464443225993,17.173493432768975,15.539649691827929,0.055711942595937695,0.05117799891533287,9.51375296667064
starlink_mini132,300,2,2.0237200359265124,1.1982322986572587,17.892651066767986,15.938632794579743,0.06007453030752171,0.053976417394408886,10.920786779424992
starlink_mini132,600,0,3.4736342113077625,1.7045617628193543,83.28831208686478,35.83347153991724,0.14206323978547306,0.06092387639053102,56.97659054184571
starlink_mini132,600,1,3.3742463704155634,1.6237186358596465,78.19692143362832,34.76808772769134,0.13471894621543534,0.05962872137413704,55.53777937766813
starlink_mini132,600,2,3.5596013436706158,1.610924066104797,74.3293518613831,34.10127215161199,0.12746947467978095,0.058763575248965964,54.1213917548918
starlink_mini132,1000,0,6.649110348267496,2.1666133781985395,910.3337040604489,78.80340345927009,0.9154023657010314,0.08014557433728836,91.34345975461794
starlink_mini132,1000,1,6.230680622003447,2.198531625010842,702.7325315459033,76.87772093091102,0.7388496915477424,0.07969480721910688,89.06017332628791
starlink_mini132,1000,2,5.837187098484946,2.2069860216892385,776.8191112150971,80.90319654665613,0.7810336122309537,0.08170771134187042,89.58532361284112
starlink_mini132,1600,0,9.260444916627275,2.449960341746347,7888.386794202436,177.58558772309925,4.999929503972708,0.11267749600502466,97.74877180396864
starlink_mini132,1600,1,9.406748097904098,2.381383048536031,7624.643793524514,175.9733318273442,4.842481237435592,0.11187641970505627,97.69204520771456
starlink_mini132,1600,2,8.964542273731457,2.293282669848005,6787.6335523791695,167.80424466030152,4.264093871253859,0.10598445511848377,97.52779457869403
starlink_mini264,100,0,0.685752666251838,0.685752666251838,6.708632762208978,6.708609018330411,0.06750700992182689,0.06599837362094467,0.00035393021810716527
starlink_mini264,100,1,0.6406263750909564,0.6406263750909564,6.600379701182839,6.599416227372246,0.07035471869024366,0.06955182031020925,0.01459724825255686
starlink_mini264,100,2,0.7311412494470835,0.7041034471723915,6.839113994476619,6.838164227487033,0.0754665914743773,0.07376857795181442,0.0138872811646798
starlink_mini264,300,0,1.7222896599044428,1.054936609097124,22.901553457737194,21.118133018718066,0.07883581721907378,0.0710694706585115,7.787333913004084
starlink_mini264,300,1,1.836007159492079,1.075458913278201,25.255772496945735,22.668116998560592,0.08306219104720179,0.07481446958770231,10.245798257400667
starlink_mini264,300,2,2.0028073538163613,1.0859085124554178,26.217846923795115,22.672869092378654,0.08663524123582873,0.07585389686695376,13.521239336396713
starlink_mini264,600,0,3.4677212936044493,1.3646423265573469,135.42400205031655,47.75722815394438,0.22753296207276852,0.08038493173728221,64.73503409225768
starlink_mini264,600,1,3.454808089699772,1.3003411362722237,122.1034698054417,47.84406317056215,0.2064957165574671,0.0816249674548957,60.8167865771576
starlink_mini264,600,2,3.771046101175022,1.3186974831519511,117.4870474888889,46.73579729760465,0.1975603699164667,0.07944977947192498,60.22046830138906
starlink_mini264,1000,0,5.474597861643351,1.5358706444857502,1139.7740214863734,87.88813300668883,1.1443103837035575,0.08925189128058768,92.28898611918929
starlink_mini264,1000,1,5.174659061915044,1.4772278771812029,982.3464091360951,84.2838617422845,1.020521707386196,0.0866661777463374,91.42014864019238
starlink_mini264,1000,2,5.54786639951257,1.4991897262938338,1142.3779431378439,87.33454525742752,1.1382881393442368,0.08696293396580469,92.3550217524736
starlink_mini264,1600,0,8.237591460725943,2.220718982071106,8841.21904717136,194.2263245544678,5.595129179555381,0.12250258276855162,97.80317257701462
starlink_mini264,1600,1,8.932680989291491,2.1315670291332958,10348.313561656403,195.0753573406388,6.625007113551605,0.12275561190869837,98.11490677994672
starlink_mini264,1600,2,7.9915110683083785,2.052257065810029,8790.317641306565,196.82962880795822,5.384350569435083,0.1232718838880626,97.76083599205748
