prop,seed,split,inst,blind,ue,gnn,recovered,machine
GCN,0,in-dist,0,86.5073329860334,34.13286859173407,35.785189965329366,0.9684517752552876,Linux-x86_64-sol1
GCN,0,in-dist,1,85.35063257704387,35.834935121708014,38.49885462332073,0.9462005053242838,Linux-x86_64-sol1
GCN,0,in-dist,2,83.16531440619185,36.77025446263143,38.235680102786134,0.9684141880205048,Linux-x86_64-sol1
GCN,0,in-dist,3,82.86949830769427,36.13114895446127,37.46972964320793,0.9713601206018186,Linux-x86_64-sol1
GCN,0,ood-largeshell,0,1791.83549217282,107.92860809445449,183.0596849029783,0.9553828792322774,Linux-x86_64-sol1
GCN,0,ood-largeshell,1,2597.283467867095,109.98938395904484,213.23496155497423,0.9584908040171474,Linux-x86_64-sol1
GCN,0,ood-largeshell,2,1567.237700421478,107.69219627035474,184.73101466236466,0.9472172548420709,Linux-x86_64-sol1
GCN,0,ood-largeshell,3,1620.3928502686651,104.86240540147367,175.13667311518532,0.9536305800046994,Linux-x86_64-sol1
GCN,1,in-dist,0,94.05155368706892,39.10283064343059,41.84069674375439,0.9501741633167802,Linux-x86_64-sol1
GCN,1,in-dist,1,75.74770820809829,36.386481285500395,37.6107670025777,0.9688961495157452,Linux-x86_64-sol1
GCN,1,in-dist,2,78.97703064658081,34.20130308811621,34.8039012235368,0.9865418572007845,Linux-x86_64-sol1
GCN,1,in-dist,3,73.15170487074974,34.089641004356025,34.74668858465447,0.9831793941419535,Linux-x86_64-sol1
GCN,1,ood-largeshell,0,1914.140970932296,109.84508728006965,254.4661484177307,0.9198462611104996,Linux-x86_64-sol1
GCN,1,ood-largeshell,1,2538.9269254414367,109.37753492345145,273.75978999413394,0.9323404349332303,Linux-x86_64-sol1
GCN,1,ood-largeshell,2,2787.1554450537983,117.02279085459708,342.2968378224688,0.9156318894442967,Linux-x86_64-sol1
GCN,1,ood-largeshell,3,2359.727420567668,109.24274929106693,276.9743950863549,0.9254686566249122,Linux-x86_64-sol1
GCN,2,in-dist,0,74.44975688765689,33.72697862424725,34.72322285367049,0.9755359464185087,Linux-x86_64-sol1
GCN,2,in-dist,1,99.8459102828167,37.033078368321135,38.17640258683704,0.9817979195704428,Linux-x86_64-sol1
GCN,2,in-dist,2,76.04289231760349,34.038162779877425,35.855799384971036,0.9567278107704248,Linux-x86_64-sol1
GCN,2,in-dist,3,102.7875632745541,35.51084968613667,37.154472980865485,0.9755692095071095,Linux-x86_64-sol1
GCN,2,ood-largeshell,0,2844.566870854401,116.26215382320373,387.17316539543924,0.9007035358326737,Linux-x86_64-sol1
GCN,2,ood-largeshell,1,1851.3981447919805,105.63168598610082,251.1289390087558,0.9166570921965264,Linux-x86_64-sol1
GCN,2,ood-largeshell,2,2289.5579577659087,111.11487864683772,323.6074386193502,0.9024566847721167,Linux-x86_64-sol1
GCN,2,ood-largeshell,3,1813.190551055107,108.72283261742328,323.57058019942315,0.8739502395628065,Linux-x86_64-sol1
