shell,seed,unit_of_analysis,prop_max,prop_mean,prop_ratio,H_hops,maxutil_blind,maxutil_ue,c1_at_ue,c1_at_blind,c1H_at_ue,c1H_at_blind,machine
w132_i53,0,vo-x-seed,0.013,0.0106,1.232,14,3.64,1.627,3.2,35.6,44.5,498.8,Linux-x86_64-sol1
w132_i53,1,vo-x-seed,0.013,0.0106,1.232,15,3.493,1.617,3.1,31.5,46.8,472.3,Linux-x86_64-sol1
w132_i53,2,vo-x-seed,0.013,0.0106,1.232,15,3.48,1.683,3.5,31.2,52.9,467.3,Linux-x86_64-sol1
w264_i53,0,vo-x-seed,0.013,0.0092,1.406,26,6.282,1.63,3.7,209.2,95.1,5439.3,Linux-x86_64-sol1
w264_i53,1,vo-x-seed,0.013,0.0092,1.406,27,7.107,1.666,3.9,302.9,105.4,8177.8,Linux-x86_64-sol1
w264_i53,2,vo-x-seed,0.013,0.0092,1.406,26,6.594,1.648,3.8,241.9,98.1,6290.0,Linux-x86_64-sol1
