shell,pairs,seed,blind_ttt,ue_ttt,unit_of_analysis,recovered_T1,recovered_T2,recovered_T3,recovered_T5,recovered_T10,recovered_T20,machine
w132,600,0,83.2883,35.765,shell-x-seed,0.1366,0.49,0.6867,0.7771,0.812,0.9526,Linux-x86_64-sol1
w132,600,1,78.1969,34.6868,shell-x-seed,-0.6354,0.522,0.7213,0.8684,0.8969,0.9224,Linux-x86_64-sol1
w132,600,2,74.3294,34.0431,shell-x-seed,-0.392,-0.2655,0.7007,0.7747,0.5294,0.8254,Linux-x86_64-sol1
w264,1200,0,2643.2873,113.956,shell-x-seed,0.0437,-0.6517,0.7586,0.8102,0.7711,0.7495,Linux-x86_64-sol1
w264,1200,1,2074.8359,112.8513,shell-x-seed,-0.0005,-0.3311,0.4535,0.2628,0.589,0.6981,Linux-x86_64-sol1
w264,1200,2,1885.4688,108.4471,shell-x-seed,-0.312,-0.1223,0.6476,0.4562,0.6987,0.6253,Linux-x86_64-sol1
