seed,split,blind,ue,so,geo_ttt,onestep,gnn,ecmp,geo_stuck_frac,r_ue,r_so,r_geo,r_1step,r_gnn,r_ecmp,machine,ratio_gnn_over_ue,ratio_blind_over_ue
0,in-dist,89.62796130660753,34.193463528505916,32.94172343911585,74.86944007014681,77.13755605826219,35.67867300584747,53.77853361303532,0.5314091680814941,0.38150442150004715,0.36753846633223963,0.8353357476694865,0.8606416450150303,0.39807524890357154,0.6000196013503508,Linux-x86_64-sol1,1.043,2.62
0,in-dist,101.06493454874008,38.07207977344637,36.435971183258765,84.45213423463487,134.43573193735472,41.61551782917884,66.53544355132854,0.5721561969439728,0.37670909246060547,0.3605204054793799,0.8356225095451535,1.3301916489395347,0.4117700962751738,0.6583435080467086,Linux-x86_64-sol1,1.093,2.65
0,in-dist,83.08132889570543,36.01657378984653,34.70527699900444,67.27854104498965,101.10791330397369,37.282359645235644,53.002488378536725,0.5400340715502555,0.433509842326418,0.41772655132383657,0.809791344688847,1.2169751573292429,0.44874534556419227,0.637959082781071,Linux-x86_64-sol1,1.035,2.31
0,ood,1783.2381777720836,106.35649670896399,105.20170941392325,1411.5431233572117,1035.6067429894556,199.2799658812928,157.3842229283154,0.6633081444164568,0.05964233944443817,0.05899476061316646,0.7915617447809159,0.5807450490339473,0.11175173813868562,0.08825754455579558,Linux-x86_64-sol1,1.874,16.77
0,ood,1837.6892979711702,107.00877660498904,105.82467140303234,1491.350870293454,1022.1080344590353,202.93804410938208,164.03790709544435,0.6747899159663866,0.058230070079380636,0.057585725465052216,0.8115359173827275,0.5561919719440355,0.11043109644999728,0.08926313456607929,Linux-x86_64-sol1,1.896,17.17
0,ood,1926.7137024191134,112.19414120919379,111.16984820045533,1557.2197858727106,1102.558174233189,183.80160560478254,163.16855829489066,0.688026981450253,0.058230831632290155,0.057699204640977234,0.8082258323680995,0.5722480578452606,0.09539642831937499,0.0846874956512854,Linux-x86_64-sol1,1.638,17.17
1,in-dist,105.2880635093267,38.23001570104553,36.631313469890046,76.97286384827113,115.58741696596996,40.601706176238494,61.696528178775125,0.5621805792163543,0.3630992386678193,0.34791516007553075,0.731069233137265,1.0978207131307995,0.3856249685192651,0.5859783732589011,Linux-x86_64-sol1,1.062,2.75
1,in-dist,94.11957110270606,36.20400267853303,34.77032403897039,70.25479293490663,91.50375364596134,36.971780545917454,49.94611172558507,0.5295109612141653,0.3846596648748659,0.36942714072748994,0.7464419154464965,0.9722075076830698,0.3928171379528786,0.5306665886851779,Linux-x86_64-sol1,1.021,2.6
1,in-dist,76.79658004262997,33.69798847592514,32.618110866311085,58.60317696716384,69.7291182061273,34.57409442589611,45.23699906501597,0.48722316865417375,0.4387954314791011,0.4247338989341022,0.7630961812965248,0.9079716592512387,0.45020356904830844,0.5890496561162594,Linux-x86_64-sol1,1.026,2.28
1,ood,2531.442881304766,110.27334877690625,109.18643489514348,2074.8656318207823,1143.0629601075,298.95749381024103,163.64773770664152,0.6950294860994103,0.043561460379492635,0.0431320950203965,0.8196375462958686,0.45154602086788465,0.11809766517668817,0.06464603207728455,Linux-x86_64-sol1,2.711,22.96
1,ood,2253.909459995482,109.93270983066789,108.88286712493382,1687.2757507250415,1265.5220556917516,308.6435657080473,169.0779659305164,0.6621735467565291,0.048774235071043295,0.04830844763620278,0.7485996135481076,0.5614786565979843,0.1369369849082873,0.07501542050888563,Linux-x86_64-sol1,2.808,20.5
1,ood,2334.840784735961,107.57234753591109,106.33847854216634,1945.4695841523437,1163.715007730331,327.01722482049377,167.35946026349825,0.6773648648648649,0.046072669382497565,0.04554420979681139,0.8332343673585222,0.4984130032926128,0.14005975352082733,0.07167917459623456,Linux-x86_64-sol1,3.04,21.7
2,in-dist,81.06696880382226,35.32591465628807,33.92659347103241,65.2838799684581,80.3392546630372,36.305375692013016,50.70157889487535,0.5255102040816326,0.43576212577745316,0.41850082680571116,0.8053080179479956,0.9910232965223346,0.44784424812860696,0.6254283297253961,Linux-x86_64-sol1,1.028,2.29
2,in-dist,91.08380472068676,36.15299538906126,34.97978546223749,65.48141634000226,90.51593150487065,36.9778297631193,50.979632539446186,0.5268456375838926,0.3969201275674233,0.3840395728911943,0.7189139336109689,0.9937653766489276,0.40597590182484966,0.5597002968395742,Linux-x86_64-sol1,1.023,2.52
2,in-dist,86.3263721686343,35.91203422450212,34.41095072158092,68.30814790550258,88.72207750822574,38.23286160245205,52.45510037725609,0.5193929173693086,0.4160030512384992,0.39861458158302804,0.7912778701283311,1.0277517203539093,0.44288738935728755,0.6076370297918653,Linux-x86_64-sol1,1.065,2.4
2,ood,2653.1694494512444,116.89491777905702,116.3953834109565,2144.468020760385,1466.361155323604,375.1300096900719,203.774051877545,0.6941176470588235,0.04405859482636302,0.04387031647565163,0.8082665135481362,0.5526828132394227,0.14138938987393365,0.07680400960432121,Linux-x86_64-sol1,3.209,22.7
2,ood,2621.387783443524,111.96466053256445,111.14503318286481,2004.612887348866,1087.540809195849,310.44166967040456,172.76986832449398,0.6936708860759494,0.04271197921945174,0.04239930997040879,0.764714362373183,0.4148721589627716,0.1184264577835944,0.06590778724753914,Linux-x86_64-sol1,2.773,23.41
2,ood,2273.003395013221,110.55336412534848,109.86448941340623,1875.3062804085196,1787.2550489280661,300.1348861770389,204.52806593137643,0.6906957250628667,0.048637571051540575,0.04833450299917709,0.8250345267951577,0.7862966913508154,0.1320433074739394,0.08998141682502273,Linux-x86_64-sol1,2.715,20.56
