model,test_shell,diameter,seed,params,delivery,stretch_med,stretch_p90,pairs
GCN,starlink_mini264,28,0,3265,0.14898989898989898,1.0000000000000002,1.0536173362152645,396
Heat,starlink_mini264,28,0,3268,0.6338383838383839,1.029760665753191,1.1069630757359599,396
QW,starlink_mini264,28,0,3268,0.702020202020202,1.0374151501280773,1.1140202449218222,396
GCN,starlink_mini264,28,1,3265,0.13383838383838384,1.016651027415945,1.0713529086431133,396
Heat,starlink_mini264,28,1,3268,0.6035353535353535,1.0362480080405527,1.1267278605640305,396
QW,starlink_mini264,28,1,3268,0.8838383838383839,1.0467821775809583,1.1600686990135773,396
GCN,starlink_mini264,28,2,3265,0.16161616161616163,1.0,1.0480524942341702,396
Heat,starlink_mini264,28,2,3268,0.6287878787878788,1.0385013573672741,1.136053153598984,396
QW,starlink_mini264,28,2,3268,0.696969696969697,1.0431695634270644,1.160405823561961,396
