shell,n_sat,seed,unit_of_analysis,t_features_s,t_forward_s,t_decode_s,t_total_s,slot_s,frac_of_slot,precomputable_s,demand_dependent_s,machine
w132,132,0,vo-x-seed,0.0415,0.001,0.053,0.0955,60.0,0.0016,0.001,0.0945,Linux-x86_64-sol1
w132,132,1,vo-x-seed,0.0445,0.0009,0.0572,0.1026,60.0,0.0017,0.0009,0.1017,Linux-x86_64-sol1
w132,132,2,vo-x-seed,0.0428,0.0008,0.0581,0.1017,60.0,0.0017,0.0008,0.1009,Linux-x86_64-sol1
w264,264,0,vo-x-seed,0.2174,0.0013,0.2488,0.4675,60.0,0.0078,0.0013,0.4662,Linux-x86_64-sol1
w264,264,1,vo-x-seed,0.2221,0.0012,0.2679,0.4912,60.0,0.0082,0.0012,0.49,Linux-x86_64-sol1
w264,264,2,vo-x-seed,0.2234,0.0012,0.2531,0.4778,60.0,0.008,0.0012,0.4766,Linux-x86_64-sol1
w1584,1584,0,vo-x-seed,8.3546,0.0112,8.8953,17.2611,60.0,0.2877,0.0112,17.2499,Linux-x86_64-sol1
w1584,1584,1,vo-x-seed,8.3645,0.0116,8.7355,17.1116,60.0,0.2852,0.0116,17.1,Linux-x86_64-sol1
w1584,1584,2,vo-x-seed,8.3894,0.0111,8.7792,17.1797,60.0,0.2863,0.0111,17.1687,Linux-x86_64-sol1
